qubit,date,name,unit,value
9,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
10,2022-07-19 11:20:33-04:00,T1,us,141.22748898025804
10,2022-07-19 00:41:46-04:00,T2,us,167.47228355856188
10,2022-07-19 12:31:51-04:00,frequency,GHz,5.081764632137806
10,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3379636840612414
10,2022-07-19 00:38:01-04:00,readout_error,,0.008399999999999963
10,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.011199999999999988
10,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0056
10,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
11,2022-07-19 11:20:33-04:00,T1,us,126.17065670804854
11,2022-07-19 00:41:46-04:00,T2,us,50.25621662761577
11,2022-07-19 12:31:51-04:00,frequency,GHz,5.03482923120889
11,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3377232857931562
11,2022-07-19 00:38:01-04:00,readout_error,,0.012599999999999945
11,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.019399999999999973
11,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0058
11,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
12,2022-07-19 11:23:19-04:00,T1,us,194.43439980232327
12,2022-07-19 00:43:13-04:00,T2,us,224.401651998888
12,2022-07-19 12:31:51-04:00,frequency,GHz,4.971909672683805
12,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3227716338059607
12,2022-07-19 00:38:01-04:00,readout_error,,0.012199999999999989
12,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.01959999999999995
12,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0048
12,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
13,2022-07-19 11:20:33-04:00,T1,us,179.11333870376166
13,2022-07-19 00:41:46-04:00,T2,us,126.22345655693636
13,2022-07-19 12:31:51-04:00,frequency,GHz,4.867789506079848
13,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3406276441736398
13,2022-07-19 00:38:01-04:00,readout_error,,0.008499999999999952
13,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.01419999999999999
13,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0028
13,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
14,2022-07-19 02:15:45-04:00,T1,us,144.80847363445943
14,2022-07-19 00:43:13-04:00,T2,us,166.1094432297991
14,2022-07-19 12:31:51-04:00,frequency,GHz,4.961339119895283
14,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.32314254463107384
14,2022-07-19 00:38:01-04:00,readout_error,,0.018900000000000028
14,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.029200000000000004
14,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0086
14,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
15,2022-07-19 11:20:33-04:00,T1,us,51.403744341476745
15,2022-07-19 00:41:46-04:00,T2,us,76.07727435655923
15,2022-07-19 12:31:51-04:00,frequency,GHz,5.03386990108211
15,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3374199469605722
15,2022-07-19 00:38:01-04:00,readout_error,,0.02059999999999995
15,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.033399999999999985
15,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0078
15,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
16,2022-07-19 11:20:33-04:00,T1,us,21.111369154065034
16,2022-07-19 00:41:46-04:00,T2,us,30.652031455112112
16,2022-07-19 12:31:51-04:00,frequency,GHz,5.085634454284811
16,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3370728696076825
16,2022-07-19 00:38:01-04:00,readout_error,,0.018100000000000005
16,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.03059999999999996
16,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0056
16,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
17,2022-07-19 11:20:33-04:00,T1,us,106.33526281576985
17,2022-07-19 00:41:46-04:00,T2,us,82.67999148187175
17,2022-07-19 12:31:51-04:00,frequency,GHz,5.072207739090841
17,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3376263126986256
17,2022-07-19 00:38:01-04:00,readout_error,,0.03499999999999992
17,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.037799999999999945
17,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0322
17,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
18,2022-07-19 11:23:19-04:00,T1,us,69.62225795048185
18,2022-07-19 00:43:13-04:00,T2,us,22.56576013744926
18,2022-07-19 12:31:51-04:00,frequency,GHz,4.981404483673514
18,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3038509594814633
18,2022-07-19 00:38:01-04:00,readout_error,,0.0391999999999999
18,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.048799999999999955
18,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0296
18,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
19,2022-07-19 11:23:19-04:00,T1,us,101.60109054840217
19,2022-07-19 00:43:13-04:00,T2,us,128.85677516779901
19,2022-07-19 12:31:51-04:00,frequency,GHz,4.981780257947171
19,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.32218874979120343
19,2022-07-19 00:38:01-04:00,readout_error,,0.012900000000000023
19,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.014800000000000035
19,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.011
19,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
20,2022-07-19 09:10:36-04:00,T1,us,124.54061273750526
20,2022-07-19 00:41:46-04:00,T2,us,92.04934011177494
